,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
295,ZTS,57.84,12744245052,34
296,ZTS,263.89,194376562696,7
297,ZTS,74.24,41945288821,26
298,ZTS,379.7,54856157888,5
299,ZTS,329.09,59765292788,6
300,ZTS,67.0,88361681866,29
301,ZTS,95.82,127676038034,20
302,ZTS,68.25,56485881060,29
303,ZTS,36.7,14259722276,54
304,ZTS,132.0,8160038160,15
305,ZTS,91.25,24919108878,21
306,ZTS,280.69,10574171985,7
307,ZTS,383.6,23527847295,5
308,ZTS,179.3,88892488167,11
309,ZTS,158.67,90207898378,12
310,ZTS,93.13,47473007063,21
311,ZTS,47.38,82008566414,42
312,ZTS,56.84,20819458941,35
313,ZTS,101.23,49248576924,19
314,ZTS,94.5,230746817863,21
315,ZTS,24.87,17833291497,80
316,ZTS,94.26,160631629996,21
317,ZTS,530.76,42483562084,3
318,ZTS,292.44,2242740724782,6
319,ZTS,267.51,44469650856,7
320,ZTS,198.24,35379525869,10
321,ZTS,1416.6,31228115937,1
322,ZTS,65.59,73343740016,30
323,ZTS,105.25,27914664757,18
324,ZTS,16.027,8930518869,124
325,ZTS,8.52,4299312413,234
326,ZTS,14.27,3192511968,139
327,ZTS,194.82,18519636626,10
328,ZTS,90.86,183756348185,21
329,ZTS,47.66,38420217406,41
330,ZTS,259.9,112616202594,7
331,ZTS,31.72,12890735641,62
332,ZTS,120.35,189826011668,16
333,ZTS,24.56,13919579963,81
334,ZTS,27.74,10303793393,71
335,ZTS,486.11,76161438419,4
336,ZTS,18.75,7466618016,106
337,ZTS,518.78,106041684616,3
338,ZTS,43.68,9946207857,45
339,ZTS,271.61,66683766679,7
340,ZTS,77.55,17070492208,25
341,ZTS,107.16,22307031723,18
342,ZTS,144.76,38503236827,13
343,ZTS,196.26,482091989214,10
344,ZTS,4532.77,14833874047,0
345,ZTS,21.63,9101067439,92
346,ZTS,19.72,11536037595,101
347,ZTS,19.04,11422889433,104
348,ZTS,75.64,45623021792,26
349,ZTS,323.25,36008165605,6
350,ZTS,64.73,29793631900,30
351,ZTS,74.11,15482896182,26
352,ZTS,82.76,218073723730,24
353,ZTS,754.63,47297598296,2
354,ZTS,85.6,35468931311,23
355,ZTS,66.65,63289578993,29
356,ZTS,395.01,24535748414,5
357,ZTS,140.78,49298944409,14
358,ZTS,20.28,8736657746,98
359,ZTS,95.61,33704731856,20
360,ZTS,28.76,15942799479,69
361,ZTS,67.81,34492381617,29
362,ZTS,179.77,246638473611,11
363,ZTS,51.97,290623542741,38
364,ZTS,80.68,19988233857,24
365,ZTS,149.12,353544784136,13
366,ZTS,125.3,73655993849,15
367,ZTS,312.0,41047390979,6
368,ZTS,46.41,10755115679,43
369,ZTS,144.92,13712506310,13
370,ZTS,163.87,20032284087,12
371,ZTS,142.86,105522873167,13
372,ZTS,102.67,158894145043,19
373,ZTS,181.25,73624145681,11
374,ZTS,51.18,8715909747,38
375,ZTS,77.87,9084505439,25
376,ZTS,137.49,33011352613,14
377,ZTS,30.4,22605665738,65
378,ZTS,42.02,5756751779,47
379,ZTS,105.99,40740218848,18
380,ZTS,360.6,61989738279,5
381,ZTS,90.0,44354276525,22
382,ZTS,72.25,4776009738,27
383,ZTS,144.98,21282420510,13
384,ZTS,244.06,59108550632,8
385,ZTS,101.3,118291769573,19
386,ZTS,153.96,173991839192,12
387,ZTS,115.24,11861608102,17
388,ZTS,43.97,11282239718,45
389,ZTS,278.5,11201151627,7
390,ZTS,66.6,11458552497,29
391,ZTS,641.48,69584049292,3
392,ZTS,23.52,21706562350,84
393,ZTS,86.21,9239526431,23
394,ZTS,111.56,24555872461,17
395,ZTS,100.3,7260784980,19
396,ZTS,249.33,36082126321,8
397,ZTS,266.56,31023928859,7
398,ZTS,38.02,18807472196,52
399,ZTS,452.9,48010657080,4
400,ZTS,92.06,32989227208,21
401,ZTS,146.63,47938246049,13
402,ZTS,96.08,143309476704,20
403,ZTS,356.66,39158041165,5
404,ZTS,88.41,105162778065,22
405,ZTS,78.0,141925824794,25
406,ZTS,61.24,8703448153,32
407,ZTS,254.38,68108312468,7
408,ZTS,478.34,27817396781,4
409,ZTS,136.52,14975081118,14
410,ZTS,37.79,54579517765,52
411,ZTS,52.91,3281578271,37
412,ZTS,237.24,12843676511,8
413,ZTS,393.37,59269170936,5
414,ZTS,79.96,84479073577,24
415,ZTS,119.5,39220852076,16
416,ZTS,395.37,137154203977,5
417,ZTS,169.76,52947172690,11
418,ZTS,218.8,21992532359,9
419,ZTS,77.38,28095518338,25
420,ZTS,84.77,18071859849,23
421,ZTS,252.64,46320556099,7
422,ZTS,101.85,15079460731,19
423,ZTS,118.37,18250916950,16
424,ZTS,37.33,18008301520,53
425,ZTS,233.13,87101382901,8
426,ZTS,86.37,45320079483,23
427,ZTS,19.03,130509123610,104
428,ZTS,59.26,12696425979,33
429,ZTS,682.2,37613756885,2
430,ZTS,403.4,19116313310,4
431,ZTS,141.15,44794673427,14
432,ZTS,53.15,69718513932,37
433,ZTS,259.12,12153664459,7
434,ZTS,179.54,83068868542,11
435,ZTS,137.62,16004465280,14
436,ZTS,67.64,79190705551,29
437,ZTS,608.89,236535655238,3
438,ZTS,150.88,186553855053,13
439,ZTS,35.74,9393525459,55
440,ZTS,138.76,30510034046,14
441,ZTS,175.91,42560404277,11
442,ZTS,198.68,22536875312,10
443,ZTS,84.36,31179517928,23
444,ZTS,170.83,39390203110,11
445,ZTS,124.5,21503916048,16
446,ZTS,45.16,34827765587,44
447,ZTS,193.28,175773913189,10
448,ZTS,70.23,14696841983,28
449,ZTS,410.24,17187531739,4
450,ZTS,9.31,4454811397,214
451,ZTS,10.48,4608088069,190
452,ZTS,40.2,12960383149,49
453,ZTS,52.63,16835607415,37
454,ZTS,113.63,9864197968,17
455,ZTS,399.26,21159547704,4
456,ZTS,567.1,516834200217,3
457,ZTS,40.3,8083728463,49
458,ZTS,241.69,154792196008,8
459,ZTS,213.18,181823770848,9
460,ZTS,337.32,23847776666,5
461,ZTS,51.08,74172452459,39
462,ZTS,219.45,475504397626,9
463,ZTS,178.39,16480712742,11
464,ZTS,48.8,19127507916,40
465,ZTS,117.23,46344114089,17
466,ZTS,179.65,23807445774,11
467,ZTS,30.74,6074574063,64
468,ZTS,207.05,32604834124,9
469,ZTS,204.97,22050452938,9
470,ZTS,300.87,75637339684,6
471,ZTS,52.91,21704377573,37
472,ZTS,46.05,195331010505,43
473,ZTS,99.83,18176760058,19
474,ZTS,337.22,20408666165,5
475,ZTS,40.74,35804956566,48
476,ZTS,53.09,16374683326,37
477,ZTS,108.92,33508511479,18
478,ZTS,84.87,39338512986,23
479,ZTS,47.8,175952311180,41
480,ZTS,172.5,9360206066,11
481,ZTS,173.25,72538072437,11
482,ZTS,35.32,43577552009,56
483,ZTS,137.54,376636274181,14
484,ZTS,68.07,18025673854,29
485,ZTS,44.19,11193754257,45
486,ZTS,348.86,25339611474,5
487,ZTS,16.96,6511989549,117
488,ZTS,37.04,28514335648,53
489,ZTS,72.14,8110953849,27
490,ZTS,78.61,42200747508,25
491,ZTS,198.49,49478174734,10
492,ZTS,94.0,410130805120,21
493,ZTS,39.25,8464966821,50
494,ZTS,19.51,2983086015,102
495,ZTS,107.18,19550315088,18
496,ZTS,119.67,34902076258,16
497,ZTS,122.86,25489953166,16
498,ZTS,349.79,18005074025,5
499,ZTS,58.74,8922911911,33
500,ZTS,183.95,85296874940,10
