,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
436,ZTS,67.64,79190705551,N/A
437,ZTS,608.89,236535655238,N/A
438,ZTS,150.88,186553855053,N/A
439,ZTS,35.74,9393525459,N/A
440,ZTS,138.76,30510034046,N/A
441,ZTS,175.91,42560404277,N/A
442,ZTS,198.68,22536875312,N/A
443,ZTS,84.36,31179517928,N/A
444,ZTS,170.83,39390203110,N/A
445,ZTS,124.5,21503916048,N/A
446,ZTS,45.16,34827765587,N/A
447,ZTS,193.28,175773913189,N/A
448,ZTS,70.23,14696841983,N/A
449,ZTS,410.24,17187531739,N/A
450,ZTS,9.31,4454811397,N/A
451,ZTS,10.48,4608088069,N/A
452,ZTS,40.2,12960383149,N/A
453,ZTS,52.63,16835607415,N/A
454,ZTS,113.63,9864197968,N/A
455,ZTS,399.26,21159547704,N/A
456,ZTS,567.1,516834200217,N/A
457,ZTS,40.3,8083728463,N/A
458,ZTS,241.69,154792196008,N/A
459,ZTS,213.18,181823770848,N/A
460,ZTS,337.32,23847776666,N/A
461,ZTS,51.08,74172452459,N/A
462,ZTS,219.45,475504397626,N/A
463,ZTS,178.39,16480712742,N/A
464,ZTS,48.8,19127507916,N/A
465,ZTS,117.23,46344114089,N/A
466,ZTS,179.65,23807445774,N/A
467,ZTS,30.74,6074574063,N/A
468,ZTS,207.05,32604834124,N/A
469,ZTS,204.97,22050452938,N/A
470,ZTS,300.87,75637339684,N/A
471,ZTS,52.91,21704377573,N/A
472,ZTS,46.05,195331010505,N/A
473,ZTS,99.83,18176760058,N/A
474,ZTS,337.22,20408666165,N/A
475,ZTS,40.74,35804956566,N/A
476,ZTS,53.09,16374683326,N/A
477,ZTS,108.92,33508511479,N/A
478,ZTS,84.87,39338512986,N/A
479,ZTS,47.8,175952311180,N/A
480,ZTS,172.5,9360206066,N/A
481,ZTS,173.25,72538072437,N/A
482,ZTS,35.32,43577552009,N/A
483,ZTS,137.54,376636274181,N/A
484,ZTS,68.07,18025673854,N/A
485,ZTS,44.19,11193754257,N/A
486,ZTS,348.86,25339611474,N/A
487,ZTS,16.96,6511989549,N/A
488,ZTS,37.04,28514335648,N/A
489,ZTS,72.14,8110953849,N/A
490,ZTS,78.61,42200747508,N/A
491,ZTS,198.49,49478174734,N/A
492,ZTS,94.0,410130805120,N/A
493,ZTS,39.25,8464966821,N/A
494,ZTS,19.51,2983086015,N/A
495,ZTS,107.18,19550315088,N/A
496,ZTS,119.67,34902076258,N/A
497,ZTS,122.86,25489953166,N/A
498,ZTS,349.79,18005074025,N/A
499,ZTS,58.74,8922911911,N/A
500,ZTS,183.95,85296874940,N/A
